High Saline portion,,,,,,,,,,,Low Saline portion,,,,,,,,,,time(s),PV,Gamma Counts
Sample,Measurement date & time,Rack,Pos,Time,Cu-64 Counts,Cu-64 CPM,Cu-64 Error %,,,,Sample,Measurement date & time,Rack,Pos,Time,Cu-64 Counts,Cu-64 CPM,Cu-64 Error %,,,820,0.742350172,13
1,5/2/2022 18:12,1,1,60,38,13,28.21,,,,11,5/2/2022 18:25,2,1,60,25,0,0,,,863,0.781278291,2044
2,5/2/2022 18:13,1,2,60,2067,2044,2.21,,,,12,5/2/2022 18:26,2,2,60,561,542,4.32,,,906,0.82020641,15227
3,5/2/2022 18:14,1,3,60,15200,15227,0.81,,,,13,5/2/2022 18:27,2,3,60,336,315,5.68,,,949,0.859134528,17775
4,5/2/2022 18:16,1,4,60,17716,17775,0.75,,,,14,5/2/2022 18:28,2,4,60,1251,1244,2.86,,,992,0.898062647,13946
5,5/2/2022 18:17,1,5,60,13894,13946,0.85,,,,15,5/2/2022 18:29,2,5,60,2523,2538,2,,,1035,0.936990766,6849
6,5/2/2022 18:18,1,6,60,6834,6849,1.21,,,,16,5/2/2022 18:31,2,6,60,1247,1243,2.86,,,1078,0.975918885,3769
7,5/2/2022 18:19,1,7,60,3769,3769,1.63,,,,17,5/2/2022 18:32,2,7,60,1453,1454,2.65,,,2900,2.999451787,0
,,,,,,,,,,,21,5/2/2022 18:37,3,1,60,1009,1006,3.19,,,2943,3.070549671,542
,,,,,,,,,,,22,5/2/2022 18:39,3,2,60,1103,1105,3.05,,,2986,3.141647555,315
,,,,,,,,,,,23,5/2/2022 18:40,3,3,60,877,874,3.43,,,3029,3.212745438,1244
,,,,,,,,,,,24,5/2/2022 18:41,3,4,60,838,834,3.51,,,3072,3.283843322,2538
,,,,,,,,,,,25,5/2/2022 18:42,3,5,60,749,744,3.72,,,3115,3.354941205,1243
,,,,,,,,,,,26,5/2/2022 18:43,3,6,60,480,468,4.69,,,3158,3.426039089,1454
,,,,,,,,,,,27,5/2/2022 18:45,3,7,60,412,398,5.09,,,3201,3.497136973,1006
,,,,,,,,,,,,,,,,,,,,,3244,3.568234856,1105
,,,,,,,,,,,,,,,,,,,,,3287,3.63933274,874
,,,,,,,,,,,,,,,,,,,,,3330,3.710430623,834
,,,,,,,,,,,,,,,,,,,,,3373,3.781528507,744
,,,,,,,,,,,,,,,,,,,,,3416,3.852626391,468
,,,,,,,,,,,,,,,,,,,,,3459,3.923724274,398
