Time ( sec. ),tracer,Time ( sec. ),18Aug2022_kaoHitoLowSaline_hs,Time ( sec. ),22Aug2022_CukaoHitoLowSaline_hs,18Aug2022_kaoHitoLowSaline_ls,22Aug2022_CukaoHitoLowSaline_ls
0,0.000736,0,0.000061,0,0.000107,-0.000397,-0.000656
1,0.000782,1,0.000076,1,-0.000214,-0.000107,-0.000458
2,0.000934,2,0.000122,2,-0.000061,-0.000214,-0.000183
3,0.000797,3,-0.000015,3,-0.000107,-0.000183,-0.000259
4,0.000751,4,-0.000061,4,-0.000046,-0.000122,-0.000198
5,0.000721,5,-0.000137,5,0.000061,-0.000168,-0.000305
6,0.000706,6,-0.000351,6,-0.000198,-0.000549,-0.000214
7,0.000797,7,-0.000275,7,-0.000076,-0.000244,-0.000381
8,0.000797,8,-0.000137,8,-0.000046,-0.000397,-0.000427
9,0.000797,9,-0.000122,9,-0.000107,-0.000046,-0.000366
10,0.000858,10,-0.000336,10,-0.000137,0,-0.000458
11,0.00069,11,-0.000244,11,0.000092,-0.000259,-0.00032
12,0.000812,12,0,12,0.000076,-0.000305,-0.00032
13,0.000812,13,-0.000168,13,0.000092,-0.000336,-0.000381
14,0.000706,14,-0.000244,14,0.000046,-0.000214,-0.000198
15,0.000828,15,-0.000153,15,0.000259,-0.00032,-0.000412
16,0.000965,16,-0.000183,16,-0.000046,-0.000366,-0.000229
17,0.000675,17,-0.000046,17,0.000031,-0.000305,-0.000336
18,0.000751,18,-0.000259,18,0.000031,-0.000107,-0.000397
19,0.000751,19,-0.000366,19,0.000183,-0.00029,-0.000214
20,0.000782,20,-0.000366,20,0.000229,-0.000092,-0.000412
21,0.000858,21,-0.00032,21,0.000092,-0.000229,-0.000427
22,0.000858,22,-0.000031,22,-0.000015,-0.000214,-0.000534
23,0.000782,23,-0.000214,23,-0.000122,-0.000412,-0.000504
24,0.00095,24,-0.000198,24,0.000214,-0.000183,-0.000259
25,0.000843,25,-0.000427,25,-0.000031,-0.000259,-0.000427
26,0.000843,26,-0.000153,26,0.000046,-0.000244,-0.000381
27,0.000919,27,-0.000259,27,-0.000107,-0.000381,-0.000458
28,0.000782,28,-0.000153,28,-0.000061,-0.000168,-0.000519
29,0.000858,29,-0.000275,29,-0.000244,-0.000076,-0.00029
30,0.000812,30,-0.000183,30,0.000153,-0.000305,-0.000122
31,0.000797,31,-0.000183,31,-0.000031,-0.000015,-0.000412
32,0.000889,32,-0.000305,32,0.000046,-0.000031,-0.000214
33,0.000889,33,-0.000198,33,0.000015,-0.000397,-0.000198
34,0.000828,34,0,34,0.000198,-0.000244,-0.000397
35,0.000629,35,0.000107,35,0.000076,-0.000015,-0.000229
